"C_p_ise","N_discontinuous_edges","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","distribution_order","inclination","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2","v_inner:0","v_inner:1","v_inner:2","Cell Type"
-0.0064847,0,4477.7,-2265.4,-129.63,-2.8462e-06,-7.1873,-68.45,1,1,-4.1354e-08,-0.10443,-0.99453,4.1354e-08,1553.6,-31.817,3.3407,1548.9,0,0,3
0.16489,0,1782.8,-2202.5,-113.43,170.11,170.11,1620.1,1,1,-0.10386,-0.10386,-0.98915,0.10386,1414.6,-87.16,-175.49,1548.9,0,0,3
-0.0222,0,2374.9,-2175.9,-139.03,1.5698e-05,-22.122,-210.69,1,1,7.4102e-08,-0.10443,-0.99453,-7.4102e-08,1565.3,-53.592,5.6273,1548.9,0,0,3
-0.024177,0,2451.3,-2209.2,-135.53,1.7729e-05,-24.01,-228.67,1,1,7.7108e-08,-0.10443,-0.99453,-7.7108e-08,1566.9,-54.263,5.6977,1548.9,0,0,3
-0.021993,0,2307.2,-2231.6,-133.18,-1.9675e-06,-22.845,-217.57,1,1,-8.9938e-09,-0.10443,-0.99453,8.9938e-09,1565.2,-53.704,5.6389,1548.9,0,0,3
-0.034196,0,2228.7,-2192.2,-137.32,-2.2707e-05,-40.927,-389.78,1,1,-5.7938e-08,-0.10443,-0.99453,5.7938e-08,1574.7,-57.403,6.0272,1548.9,0,0,3
-0.0048895,0,4663.4,-2223.8,-134,3.6079e-06,-5.2542,-50.039,1,1,7.1707e-08,-0.10443,-0.99453,-7.1707e-08,1552.4,-29.291,3.0757,1548.9,0,0,3
-0.0041275,0,4545.8,-2302.7,-125.72,-1.2804e-06,-3.2021,-30.497,1,1,-4.1757e-08,-0.10443,-0.99453,4.1757e-08,1551.8,-30.442,3.1964,1548.9,0,0,3
-0.026123,0,2969.3,-2264.7,-129.7,2.1834e-06,-24.031,-228.86,1,1,9.4881e-09,-0.10443,-0.99453,-9.4881e-09,1568.2,-60.224,6.3235,1548.9,0,0,3
-0.023109,0,2519.8,-2156.6,-141.05,2.5039e-05,-22.295,-212.33,1,1,1.1728e-07,-0.10443,-0.99453,-1.1728e-07,1566,-54.892,5.7639,1548.9,0,0,3
-0.027112,0,2596.1,-2188.8,-137.68,-6.0724e-06,-25.919,-246.85,1,1,-2.4465e-08,-0.10443,-0.99453,2.4465e-08,1569.1,-56.246,5.9058,1548.9,0,0,3
-0.02931,0,2162.1,-2251.2,-131.12,8.6124e-06,-35.49,-338,1,1,2.5341e-08,-0.10443,-0.99453,-2.5341e-08,1570.7,-59.903,6.2899,1548.9,0,0,3
-0.027285,0,2084.3,-2221.5,-134.24,-1.1827e-05,-30.744,-292.8,1,1,-4.017e-08,-0.10443,-0.99453,4.017e-08,1569.2,-59.471,6.2444,1548.9,0,0,3
-0.0065424,0,4316.6,-2198.6,-136.65,3.9249e-07,-5.8548,-55.76,1,1,7.0004e-09,-0.10443,-0.99453,-7.0004e-09,1553.6,-35.159,3.6917,1548.9,0,0,3
0.16882,0,1266.6,-2167.8,-62.875,176.82,176.82,1684,1,1,-0.10386,-0.10386,-0.98915,0.10386,1411.1,-99.23,-174.79,1548.9,0,0,3
-0.0041274,0,4625,-2286.5,-127.41,1.5037e-05,-3.2493,-30.946,1,1,4.8326e-07,-0.10443,-0.99453,-4.8326e-07,1551.8,-30.442,3.1972,1548.9,0,0,3
-0.022756,0,7993,-2224.7,-133.91,1.8567e-05,-15.328,-145.98,1,1,1.265e-07,-0.10443,-0.99453,-1.265e-07,1566.7,4.9094,-0.51529,1548.9,0,0,3
-0.01138,0,4034.7,-2228.9,-133.46,-1.2995e-05,-9.849,-93.8,1,1,-1.3778e-07,-0.10443,-0.99453,1.3778e-07,1557.2,-40.707,4.274,1548.9,0,0,3
-0.031195,0,2682.8,-2300.5,-125.95,7.1164e-05,-28.29,-269.43,1,1,2.6268e-07,-0.10443,-0.99453,-2.6268e-07,1572.4,-56.265,5.9083,1548.9,0,0,3
-0.024449,0,3540,-2262.5,-129.94,2.3854e-05,-22.209,-211.52,1,1,1.1216e-07,-0.10443,-0.99453,-1.1216e-07,1567.2,-51.726,5.4314,1548.9,0,0,3
-0.020081,0,3677.4,-2235.4,-132.78,-2.2508e-05,-17.788,-169.41,1,1,-1.3213e-07,-0.10443,-0.99453,1.3213e-07,1563.8,-50.784,5.3322,1548.9,0,0,3
0.16958,0,1881.7,-2309.9,-112.54,154.18,154.18,1468.4,1,1,-0.10386,-0.10386,-0.98915,0.10386,1411.2,-87.742,-175.99,1548.9,0,0,3
-0.015658,0,3817.7,-2214.8,-134.95,1.035e-05,-13.381,-127.44,1,1,8.0768e-08,-0.10443,-0.99453,-8.0768e-08,1560.5,-44.512,4.6739,1548.9,0,0,3
-0.035833,0,3392,-2203.3,-136.16,-4.1751e-05,-32.431,-308.87,1,1,-1.3443e-07,-0.10443,-0.99453,1.3443e-07,1575.9,-60.454,6.3475,1548.9,0,0,3
0.16409,0,1804.3,-2284.9,-107.04,142.91,142.91,1361.1,1,1,-0.10386,-0.10386,-0.98915,0.10386,1415.1,-88.91,-175.23,1548.9,0,0,3
-0.020184,0,3178.4,-2197.7,-136.74,5.2001e-06,-18.136,-172.72,1,1,2.9942e-08,-0.10443,-0.99453,-2.9942e-08,1563.8,-53.45,5.6123,1548.9,0,0,3
0.28364,1,817.74,-2261.6,-5.8983,259.73,259.73,2473.6,1,1,-0.10386,-0.10386,-0.98915,0.10386,1315.1,-233.79,-176.38,1548.9,0,0,3
-0.15073,0,11127,-2231.4,-119.87,133.6,-133.6,-1272.4,1,1,0.10386,-0.10386,-0.98915,-0.10386,1667.9,22.675,140.76,1548.9,0,0,3
-0.15012,0,11482,-2271.2,-78.383,138.34,-138.33,-1317.5,1,1,0.10386,-0.10386,-0.98915,-0.10386,1667.4,23.595,140.76,1548.9,0,0,3
-0.024132,0,8863.5,-2295.2,-126.5,-9.7873e-05,-17.483,-166.51,1,1,-5.8459e-07,-0.10443,-0.99453,5.8459e-07,1567.8,11.705,-1.2299,1548.9,0,0,3
-0.020922,0,8933.8,-2278.5,-128.26,3.522e-05,-15.536,-147.96,1,1,2.3673e-07,-0.10443,-0.99453,-2.3673e-07,1565.2,11.18,-1.1736,1548.9,0,0,3
-0.14827,1,12211,-2233.8,-5.8307,134.2,-134.19,-1278.1,1,1,0.10386,-0.10386,-0.98915,-0.10386,1665.7,12.69,142.18,1548.9,0,0,3
-0.010442,0,10621,-2213.9,-135.04,2.487e-06,-9.4018,-89.541,1,1,2.7623e-08,-0.10443,-0.99453,-2.7623e-08,1557,3.3407,-0.35073,1548.9,0,0,3
-0.0091687,0,10543,-2233.5,-132.98,-4.9924e-06,-8.26,-78.667,1,1,-6.3116e-08,-0.10443,-0.99453,6.3116e-08,1556.1,3.1178,-0.32747,1548.9,0,0,3
-0.021188,0,8955.7,-2208,-135.66,7.1898e-06,-15.033,-143.17,1,1,4.9944e-08,-0.10443,-0.99453,-4.9944e-08,1565.4,11.85,-1.2441,1548.9,0,0,3
-0.007877,0,10410,-2198,-136.72,-3.2049e-06,-6.6246,-63.091,1,1,-5.0519e-08,-0.10443,-0.99453,5.0519e-08,1555,3.6785,-0.38632,1548.9,0,0,3
-0.0083641,0,10488,-2177,-138.91,2.6677e-06,-7.2326,-68.882,1,1,3.8517e-08,-0.10443,-0.99453,-3.8517e-08,1555.4,3.768,-0.39558,1548.9,0,0,3
-0.01911,0,9510.8,-2189.4,-137.61,5.1137e-06,-15.736,-149.87,1,1,3.3934e-08,-0.10443,-0.99453,-3.3934e-08,1563.8,3.1411,-0.32977,1548.9,0,0,3
-0.15412,0,11892,-2316.6,-30.573,142.73,-142.73,-1359.3,1,1,0.10386,-0.10386,-0.98915,-0.10386,1671,12.908,141.28,1548.9,0,0,3
-0.0097654,0,10259,-2243.5,-131.94,6.3524e-06,-8.1152,-77.287,1,1,8.1743e-08,-0.10443,-0.99453,-8.1743e-08,1556.5,5.2741,-0.55366,1548.9,0,0,3
-0.14983,0,11713,-2210,-60.573,139.79,-139.79,-1331.3,1,1,0.10386,-0.10386,-0.98915,-0.10386,1667.1,13.791,141.83,1548.9,0,0,3
-0.011998,0,9566.6,-2245.9,-131.68,6.9249e-06,-10.09,-96.092,1,1,7.1671e-08,-0.10443,-0.99453,-7.1671e-08,1558.2,8.4833,-0.89064,1548.9,0,0,3
-0.021188,0,9436.6,-2207.4,-135.72,3.8251e-06,-17.726,-168.82,1,1,2.2534e-08,-0.10443,-0.99453,-2.2534e-08,1565.5,3.5603,-0.3738,1548.9,0,0,3
-0.011128,0,10673,-2273.9,-128.74,-1.1032e-05,-9.6843,-92.231,1,1,-1.1896e-07,-0.10443,-0.99453,1.1896e-07,1557.6,2.7812,-0.29221,1548.9,0,0,3
-0.012759,0,9835.2,-2314.5,-124.47,-3.1927e-05,-11.425,-108.81,1,1,-2.9181e-07,-0.10443,-0.99453,2.9181e-07,1558.9,5.3378,-0.56091,1548.9,0,0,3
-0.023071,0,8813.2,-2238.4,-132.47,-3.7346e-06,-17.892,-170.4,1,1,-2.1797e-08,-0.10443,-0.99453,2.1797e-08,1566.9,12.587,-1.3216,1548.9,0,0,3
-0.011931,0,9775.3,-2258.2,-130.39,7.2663e-06,-10.64,-101.33,1,1,7.1316e-08,-0.10443,-0.99453,-7.1316e-08,1558.2,5.9367,-0.62324,1548.9,0,0,3
-0.020779,0,9207.8,-2267.5,-129.41,-2.0837e-05,-17.698,-168.55,1,1,-1.2295e-07,-0.10443,-0.99453,1.2295e-07,1565.1,12.346,-1.2966,1548.9,0,0,3
-0.011311,0,10313,-2296.3,-126.39,-3.4642e-05,-9.3415,-88.967,1,1,-3.8725e-07,-0.10443,-0.99453,3.8725e-07,1557.7,4.204,-0.44202,1548.9,0,0,3
-0.0078168,0,10388,-2273.7,-128.76,6.6105e-06,-6.6128,-62.979,1,1,1.0439e-07,-0.10443,-0.99453,-1.0439e-07,1555,3.5083,-0.3682,1548.9,0,0,3
-0.010377,0,9640.9,-2224.9,-133.88,-1.6666e-06,-8.6371,-82.258,1,1,-2.015e-08,-0.10443,-0.99453,2.015e-08,1557,8.1006,-0.8506,1548.9,0,0,3
-0.023598,0,8351.1,-2211,-135.35,8.0032e-06,-12.975,-123.58,1,1,6.4409e-08,-0.10443,-0.99453,-6.4409e-08,1567.3,10.85,-1.1392,1548.9,0,0,3
-0.027012,0,3317.7,-2174.2,-139.21,-4.0577e-06,-24.153,-230.03,1,1,-1.7543e-08,-0.10443,-0.99453,1.7543e-08,1569,-57.849,6.0742,1548.9,0,0,3
0.020917,0,2021.8,-2286.4,-126.01,5.1228,24.036,189.54,1,1,-0.026803,-0.12576,-0.9917,0.026803,1529.6,-95.265,-30.598,1548.9,0,0,3
0.17248,0,1393.8,-2249.1,-67.689,164.78,164.78,1569.4,1,1,-0.10386,-0.10386,-0.98915,0.10386,1408.4,-100.49,-175.1,1548.9,0,0,3
0.1677,0,1309.9,-2244.7,-59.341,151.77,151.77,1445.4,1,1,-0.10386,-0.10386,-0.98915,0.10386,1411.8,-100.62,-174.53,1548.9,0,0,3
0.16792,0,1438.4,-2179.5,-79.685,159.09,159.09,1515.1,1,1,-0.10386,-0.10386,-0.98915,0.10386,1412,-94.45,-175.15,1548.9,0,0,3
-0.0088668,0,3892.2,-2244.2,-131.86,-1.1774e-06,-7.349,-69.99,1,1,-1.673e-08,-0.10443,-0.99453,1.673e-08,1555.2,-41.949,4.4046,1548.9,0,0,3
-0.032432,0,3036.9,-2216.6,-134.75,2.046e-06,-29.911,-284.87,1,1,7.1429e-09,-0.10443,-0.99453,-7.1429e-09,1573.4,-56.159,5.8967,1548.9,0,0,3
-0.006225,0,4324.6,-2277.9,-128.32,-4.5671e-06,-5.5314,-52.681,1,1,-8.6219e-08,-0.10443,-0.99453,8.6219e-08,1553.4,-33.506,3.518,1548.9,0,0,3
-0.010551,0,3751.5,-2262.7,-129.92,-2.9842e-06,-9.351,-89.056,1,1,-3.3326e-08,-0.10443,-0.99453,3.3326e-08,1556.4,-47.634,5.0015,1548.9,0,0,3
-0.010113,0,4242.1,-2168,-139.86,1.9625e-06,-8.9185,-84.938,1,1,2.2979e-08,-0.10443,-0.99453,-2.2979e-08,1556.4,-36.372,3.8191,1548.9,0,0,3
0.15491,0,1696.3,-2186.8,-106,169.34,169.34,1612.8,1,1,-0.10386,-0.10386,-0.98915,0.10386,1421.7,-88.378,-174.19,1548.9,0,0,3
-0.035604,0,3402.9,-2286.2,-127.45,-7.7978e-05,-32.612,-310.59,1,1,-2.4969e-07,-0.10443,-0.99453,2.4969e-07,1575.8,-59.498,6.2469,1548.9,0,0,3
0.15817,0,1644.3,-2255.2,-93.35,142.46,142.46,1356.8,1,1,-0.10386,-0.10386,-0.98915,0.10386,1419.2,-92.143,-174.22,1548.9,0,0,3
-0.031266,0,2748.5,-2251.3,-131.11,2.5894e-06,-28.234,-268.9,1,1,9.5769e-09,-0.10443,-0.99453,-9.5769e-09,1572.4,-56.22,5.9031,1548.9,0,0,3
0.15478,0,1943.5,-2257,-124.36,142,142.83,1408.9,1,1,-0.099777,-0.10036,-0.98994,0.099777,1423.2,-77.3,-168.05,1548.9,0,0,3
-0.15642,0,11583,-2167.7,-78.634,145.74,-145.74,-1388,1,1,0.10386,-0.10386,-0.98915,-0.10386,1673.2,18.655,140.33,1548.9,0,0,3
-0.015994,0,9154.6,-2215.7,-134.85,-1.2331e-05,-13.111,-124.87,1,1,-9.8209e-08,-0.10443,-0.99453,9.8209e-08,1561.3,15.893,-1.6689,1548.9,0,0,3
-0.15206,0,11970,-2297.8,-24.38,144.8,-144.8,-1379,1,1,0.10386,-0.10386,-0.98915,-0.10386,1669.2,12.716,141.61,1548.9,0,0,3
-0.013025,0,9699.1,-2280.3,-128.06,-2.9295e-05,-11.2,-106.67,1,1,-2.7314e-07,-0.10443,-0.99453,2.7314e-07,1559.1,6.2161,-0.65312,1548.9,0,0,3
-0.15819,0,11073,-2173.9,-131.6,133.52,-133.52,-1271.6,1,1,0.10386,-0.10386,-0.98915,-0.10386,1674.8,16.434,140.29,1548.9,0,0,3
-0.1371,0,11403,-2295.1,-84.178,127.08,-127.07,-1210.2,1,1,0.10386,-0.10386,-0.98915,-0.10386,1655.6,20.619,143,1548.9,0,0,3
-0.016744,0,8303.8,-2256.3,-130.59,1.1392e-05,-7.904,-75.276,1,1,1.5052e-07,-0.10443,-0.99453,-1.5052e-07,1562,4.881,-0.51227,1548.9,0,0,3
-0.14887,0,12131,-2255.6,-11.944,140.96,-140.96,-1342.5,1,1,0.10386,-0.10386,-0.98915,-0.10386,1666.2,12.782,142.08,1548.9,0,0,3
-0.0052666,0,4176.2,-2215.8,-134.84,1.5147e-06,-4.6167,-43.968,1,1,3.4261e-08,-0.10443,-0.99453,-3.4261e-08,1552.5,-39.234,4.1197,1548.9,0,0,3
-0.010631,0,4102,-2184.3,-138.15,-5.6008e-06,-9.2867,-88.444,1,1,-6.2979e-08,-0.10443,-0.99453,6.2979e-08,1556.6,-41.147,4.3203,1548.9,0,0,3
0.22041,0,956.87,-2236.5,-23.144,188.44,188.44,1794.6,1,1,-0.10386,-0.10386,-0.98915,0.10386,1366.6,-184.41,-173.14,1548.9,0,0,3
0.28348,0,898.62,-2287.6,-11.658,249.87,249.87,2379.7,1,1,-0.10386,-0.10386,-0.98915,0.10386,1315.2,-233.83,-176.36,1548.9,0,0,3
0.17176,0,1191.3,-2166.4,-55.108,129.98,129.98,1237.9,1,1,-0.10386,-0.10386,-0.98915,0.10386,1409,-99.42,-175.12,1548.9,0,0,3
0.25577,0,1032.8,-2259.8,-28.663,206.48,206.48,1966.5,1,1,-0.10386,-0.10386,-0.98915,0.10386,1342.5,-178.33,-177.72,1548.9,0,0,3
0.18729,0,1154.6,-2231,-44.479,119.65,119.65,1139.6,1,1,-0.10386,-0.10386,-0.98915,0.10386,1396.7,-117.99,-175.19,1548.9,0,0,3
0.17831,0,1083.1,-2213.1,-38.848,113.68,113.68,1082.7,1,1,-0.10386,-0.10386,-0.98915,0.10386,1403,-119.11,-174.04,1548.9,0,0,3
-0.023655,0,8233.7,-2265.8,-129.59,2.8195e-06,-19.279,-183.61,1,1,1.5272e-08,-0.10443,-0.99453,-1.5272e-08,1567.4,4.6813,-0.49151,1548.9,0,0,3
-0.017011,0,8189.9,-2212.7,-135.17,1.8555e-05,-16.603,-158.12,1,1,1.1671e-07,-0.10443,-0.99453,-1.1671e-07,1562.1,12.168,-1.2774,1548.9,0,0,3
-0.15329,0,12002,-2213.1,-29.892,146.89,-146.89,-1398.9,1,1,0.10386,-0.10386,-0.98915,-0.10386,1670.3,15.843,141.1,1548.9,0,0,3
-0.01277,0,10131,-2221,-134.3,-4.4963e-06,-11.914,-113.47,1,1,-3.9409e-08,-0.10443,-0.99453,3.9409e-08,1558.9,4.7417,-0.49795,1548.9,0,0,3
